,address,price,beds,baths,size,city,state,zipcode
401,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
402,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
403,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
404,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
405,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
406,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
407,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
408,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
409,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
410,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
411,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
412,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
413,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
414,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
415,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
416,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
417,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
418,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
419,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
420,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
421,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
422,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
423,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
424,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
425,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
426,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
427,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
428,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
429,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
430,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
431,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
432,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
433,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
434,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
435,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
436,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
437,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
438,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
439,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
440,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
441,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
442,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
443,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
444,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
445,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
446,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
447,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
448,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
449,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
450,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
451,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
452,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
453,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
454,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
455,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
456,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
457,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
458,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
459,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
460,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
461,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
462,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
463,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
464,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
465,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
466,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
467,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
468,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
469,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
470,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
471,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
472,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
473,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
474,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
475,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
476,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
477,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
478,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
479,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
480,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
481,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
482,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
483,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
484,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
485,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
486,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
487,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
488,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
489,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
490,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
491,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
492,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
493,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
494,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
495,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
496,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
497,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
498,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
499,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
500,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
501,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
502,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
503,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
504,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
505,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
506,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
507,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
508,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
509,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
510,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
511,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
512,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
513,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
514,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
515,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
516,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
517,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
518,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
519,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
520,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
521,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
522,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
523,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
524,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
525,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
526,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
527,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
528,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
529,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
530,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
531,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
532,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
533,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
534,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
535,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
536,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
537,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
538,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
539,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
540,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
541,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
542,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
543,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
544,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
545,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
546,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
547,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
548,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
549,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
550,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
551,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
552,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
553,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
554,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
555,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
556,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
557,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
558,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
559,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
560,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
561,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
562,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
563,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
564,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
565,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
566,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
567,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
568,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
569,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
570,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
571,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
572,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
573,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
574,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
575,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
576,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
577,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
578,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
579,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
580,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
581,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
582,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
583,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
584,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
585,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
586,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
587,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
588,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
589,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
590,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
591,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
592,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
593,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
594,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
595,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
596,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
597,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
598,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
599,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
600,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
601,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
602,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
603,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
604,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
605,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
606,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
607,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
608,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
609,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
610,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
611,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
612,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
613,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
614,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
615,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
616,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
617,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
618,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
619,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
620,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
621,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
622,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
623,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
624,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
625,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
626,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
627,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
628,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
629,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
630,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
631,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
632,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
633,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
634,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
635,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
636,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
637,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
638,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
639,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
640,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
641,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
642,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
643,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
644,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
645,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
646,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
647,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
648,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
649,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
650,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
651,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
652,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
653,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
654,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
655,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
656,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
657,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
658,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
659,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
660,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
661,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
662,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
663,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
664,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
665,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
666,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
667,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
668,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
669,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
670,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
671,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
672,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
673,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
674,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
675,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
676,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
677,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
678,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
679,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
680,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
681,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
682,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
683,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
684,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
685,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
686,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
687,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
688,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
689,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
690,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
691,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
692,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
693,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
694,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
695,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
696,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
697,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
698,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
699,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
700,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
701,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
702,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
703,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
704,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
705,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
706,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
707,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
708,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
709,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
710,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
711,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
712,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
713,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
714,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
715,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
716,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
717,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
718,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
719,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
720,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
721,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
722,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
723,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
724,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
725,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
726,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
727,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
728,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
729,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
730,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
731,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
732,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
733,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
734,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
735,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
736,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
737,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
738,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
739,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
740,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
741,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
742,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
743,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
744,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
745,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
746,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
747,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
748,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
749,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
750,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
751,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
752,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
753,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
754,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
755,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
756,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
757,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
758,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
759,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
